"id","debat","lieu","seance","date"
"20130118","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du mardi 29 janvier 2013","2013-01-29"
"20130119","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Troisième séance du mardi 29 janvier 2013","2013-01-29"
"20130120","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du mercredi 30 janvier 2013","2013-01-30"
"20130121","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du mercredi 30 janvier 2013","2013-01-30"
"20130124","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du vendredi 1er février 2013","2013-02-01"
"20130125","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du vendredi 1er février 2013","2013-02-01"
"20130126","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Troisième séance du vendredi 1er février 2013","2013-02-01"
"20130127","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du samedi 2 février 2013","2013-02-02"
"20130128","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du samedi 2 février 2013","2013-02-02"
"20130129","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Troisième séance du samedi 2 février 2013","2013-02-02"
"20130130","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du dimanche 3 février 2013","2013-02-03"
"20130131","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du dimanche 3 février 2013","2013-02-03"
"20130132","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Troisième séance du dimanche 3 février 2013","2013-02-03"
"20130133","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du lundi 4 février 2013","2013-02-04"
"20130134","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du lundi 4 février 2013","2013-02-04"
"20130135","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du mardi 5 février 2013","2013-02-05"
"20130136","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du mardi 5 février 2013","2013-02-05"
"20130137","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du mercredi 6 février 2013","2013-02-06"
"20130138","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du mercredi 6 février 2013","2013-02-06"
"20130139","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du jeudi 7 février 2013","2013-02-07"
"20130140","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du jeudi 7 février 2013","2013-02-07"
"20130141","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du vendredi 8 février 2013","2013-02-08"
"20130142","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Deuxième séance du vendredi 8 février 2013","2013-02-08"
"20130143","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Troisième séance du vendredi 8 février 2013","2013-02-08"
"20130144","Ouverture du mariage aux couples de même sexe","Assemblée nationale","Première séance du mardi 12 février 2013","2013-02-12"
